user_sn,Group,total_actions,unique_videos,actions_per_video,Cluster,Cluster_Label,PC1,PC2
178146,Group 1 (Initial),7.0,1.0,7.0,1,Low (低活躍),-0.2961862955373607,-0.5719246634333262
27736,Group 1 (Initial),154.0,13.0,11.846153846153848,1,Low (低活躍),0.2009392487500745,0.0897290801765725
228994,Group 1 (Initial),332.0,11.0,30.181818181818183,1,Low (低活躍),0.7456732891747521,-0.1840588187886305
230454,Group 1 (Initial),985.0,41.0,24.02439024390244,0,Medium (中活躍),2.14101839319481,1.5729860220367091
2865,Group 1 (Initial),38.0,5.0,7.6,1,Low (低活躍),-0.1751608057372354,-0.3418944697110637
72906,Group 1 (Initial),409.0,29.0,14.10344827586207,0,Medium (中活躍),0.8883689256887901,0.9963546084201342
13063,Group 1 (Initial),171.0,15.0,11.4,1,Low (低活躍),0.2517347938126176,0.2100744162800814
75415,Group 1 (Initial),168.0,9.0,18.666666666666668,1,Low (低活躍),0.2706066766582924,-0.1999638123103343
209440,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
88415,Group 1 (Initial),50.0,4.0,12.5,1,Low (低活躍),-0.0927121759203633,-0.4387976898838536
75208,Group 1 (Initial),549.0,9.0,61.0,1,Low (低活躍),1.5535785523136731,-0.5541341864082215
122366,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
89348,Group 1 (Initial),640.0,88.0,7.272727272727272,0,Medium (中活躍),2.064646196629102,4.5299407811333685
241840,Group 1 (Initial),358.0,43.0,8.325581395348838,0,Medium (中活躍),0.9341300880073058,1.8772065830767704
14637,Group 1 (Initial),196.0,32.0,6.125,0,Medium (中活躍),0.4719244072749978,1.2572020943063065
193572,Group 1 (Initial),155.0,7.0,22.142857142857142,1,Low (低活躍),0.2751122323290197,-0.3430751395086255
466,Group 1 (Initial),69.0,9.0,7.666666666666667,1,Low (低活躍),-0.0627639681970426,-0.1079352899069462
243817,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
52537,Group 1 (Initial),3408.0,22.0,154.9090909090909,0,Medium (中活躍),7.764439442992042,-0.7902671186872198
183584,Group 1 (Initial),59.0,5.0,11.8,1,Low (低活躍),-0.0742455375551271,-0.3751671227194872
238715,Group 1 (Initial),502.0,26.0,19.307692307692307,0,Medium (中活躍),1.0715610384986332,0.7692693381060749
249749,Group 1 (Initial),206.0,8.0,25.75,1,Low (低活躍),0.4291922051172924,-0.3158384182061559
52089,Group 1 (Initial),399.0,4.0,99.75,1,Low (低活躍),1.8667221876167277,-1.1203090080085862
75371,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
228997,Group 1 (Initial),204.0,9.0,22.666666666666668,1,Low (低活躍),0.3918323656965962,-0.2334287295479299
51985,Group 1 (Initial),206.0,21.0,9.80952380952381,1,Low (低活躍),0.3749282439392943,0.5747436547306551
18127,Group 1 (Initial),353.0,41.0,8.609756097560975,0,Medium (中活躍),0.899550859608134,1.7567220156443
170642,Group 1 (Initial),1140.0,27.0,42.22222222222222,0,Medium (中活躍),2.459449819518671,0.5890896453163091
70075,Group 1 (Initial),65.0,7.0,9.285714285714286,1,Low (低活躍),-0.0741769130878075,-0.2383647066904129
52202,Group 1 (Initial),7508.0,14.0,536.2857142857143,2,High (高活躍),20.245265715658707,-4.53086960115488
121450,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
